Image_ID,Title,Director,Cast,Year,Genre,Synopsis,image_url
tt11354434,Hari Ghosher Gowal,Shubhabrata Chatterjee,"Biswanath Basu, Reshmi Bhattacharya, Koushik Sen",2019,Drama," The comedy flick revolves around a boys' hostel Shri Chaitanya Adarsha Chatrabash where Hari Mohan Ghosh aka Hari Ghosh is the man in charge. However, one day Adi, a boarder of this hostel ...                See full summary » ","https://m.media-amazon.com/images/M/MV5BMGEzNWM5NDItNTI2Yy00OTI2LTkzZDItYzJkMDdhMjFjOTczXkEyXkFqcGdeQXVyMTA1MjU3NzYw._V1_UX67_CR0,0,67,98_AL_.jpg"
tt11354424,Triangle,Anindya Sarkar,"Priyanka Bhatcharjee, Anirban Chakraborty, Phalguni Chatterjee, Sudip Sarkar",2019,Drama,NA,"https://m.media-amazon.com/images/M/MV5BZjhlM2ZjZjktMmJjNC00ZmU1LTljNjAtYjBmZjViYTEyYzRiXkEyXkFqcGdeQXVyMTAxMjc1NDI@._V1_UX67_CR0,0,67,98_AL_.jpg"
tt11354406,Megh Bristir Molat,Sayan Basu Chowdhury,"Jaya Ahsan, Prasenjit Chatterjee",2019,Drama, Megh Bristir Molat Tells the tale of a broken family and a blossoming relationship between a boy and her stepsister as they struggle amidst a cruel father .,"https://m.media-amazon.com/images/M/MV5BOTIwYTQzZTMtNDdmOC00Y2Y4LTgyNTYtMDQ1ZjI3OTA4YjlmXkEyXkFqcGdeQXVyMTIyMTQ2MjA0._V1_UX67_CR0,0,67,98_AL_.jpg"
tt11349676,Robibaar,Atanu Ghosh,"Ritwick Chakraborty, Srabanti Chatterjee, Kanchan Mullick",2019,Drama," Fifteen years after they parted ways, Sayani, Law officer in a corporate firm meets Asimabha, a brilliant man leading a devious life, and they go through a unique journey with a curious interplay of conflict, intrigue and surprise.","https://m.media-amazon.com/images/M/MV5BZDkwZjNhNzMtZmYwMi00MzA5LTlmYTUtM2M3YjQ4ZTg3YmY4XkEyXkFqcGdeQXVyNTA1ODE4MzM@._V1_UY98_CR5,0,67,98_AL_.jpg"
tt11235258,Teko,Abhimanyu Mukherjee,"Suchitra Sen, Uttam Kumar, Bikash Roy, Bankim Ghosh",2019,Comedy," Alokesh and Mina both are very particular about their hair. As they share a similar affection, they decide to get married. In a twist of fate, Alokesh starts using an unknown hair oil and ...                See full summary » ","https://m.media-amazon.com/images/M/MV5BMmQ3ZGM3MjYtNWJjMC00YzU5LTg4MTUtZmQ5ZWM4ZDJjNTNmXkEyXkFqcGdeQXVyNjk3MjI4NDg@._V1_UY98_CR1,0,67,98_AL_.jpg"
tt11200922,Ghawre Bairey Aaj,Pinaki Bhushan Mukherji,"Uttam Kumar, Sabitri Chatterjee, Partho Mukerjee, Jaya Bachchan",2019,Drama," Ghawre Bairey Aaj is inspired by Rabindranath Tagore's novel 'Ghawre Bairey' (Home and the World) and is a contemporary retelling of love triangle involving Tagore's characters Nikhilesh, Sandip and Bimala.","https://m.media-amazon.com/images/M/MV5BNmVhNTk1NmYtMjhmMy00NDNlLTg1MGYtYzdiM2I5N2EyNWE5XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UX67_CR0,0,67,98_AL_.jpg"
tt0244387,Alo Amar Alo,Arabinda Mukhopadhyay,"Sandhya Roy, Kali Bannerjee, Anup Kumar, Jahar Roy",1971,Drama, A Rich industrialist philanthropist and womanizer gets a poor girl kidnapped. In the melee the girl is hit and becomes amnesic.He falls in love but when she gets memory back?,"https://m.media-amazon.com/images/M/MV5BZjZlZmI2NzEtNmMyYy00OWMwLWEyYTgtZWZiNjM5ZDI0OGQ1XkEyXkFqcGdeQXVyOTYyNzAyMDE@._V1_UY98_CR4,0,67,98_AL_.jpg"
tt0243855,Dhanyee Meye,Tarun Majumdar,"Bhanu Bannerjee, Sabitri Chatterjee, Soumitra Chatterjee, Gita Dey",1971,"Comedy, Sport"," The pride and honour of two clubs are at stake on a coveted shield final. As the characters associated with them search for glory with football, what ensues can only be described as a laugh riot.","https://m.media-amazon.com/images/M/MV5BYWM4ODZhNmUtNTA4My00MDAyLWIwNmEtYTdiMjYzNzBlMzQ2XkEyXkFqcGdeQXVyNjA3OTI5MjA@._V1_UY98_CR15,0,67,98_AL_.jpg"
tt0237499,Nimantran,Ajoy Kar,"Soumitra Chatterjee, Aparna Sen, Anil Chatterjee, Bikash Roy",1971,Drama," A boy from Calcutta (Anup Kumar), while on a visit to his aunt in her village, falls in love with a girl (Sandhya Roy) , what follows is a story of love, longing and sacrifice. One of the finest movies of Indian Cinema","https://m.media-amazon.com/images/M/MV5BMzVkZWY0ZjgtMTk5Yi00MmI1LWEwNzQtNWNmNTcyYmMyNDJlXkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_UY98_CR2,0,67,98_AL_.jpg"
tt0232041,Malyadaan,Salil Dutta,"Sanjeev Kumar, Tanuja, Dinesh Thakur, A.K. Hangal",1971,Drama,NA,"https://m.media-amazon.com/images/M/MV5BOGM1ZWZkN2EtMWRkZi00ZmU1LWI4ZGMtMTVjNWMzNTg2MmQ4XkEyXkFqcGdeQXVyNTMyODIzNTc@._V1_UY98_CR53,0,67,98_AL_.jpg"
tt0214847,Khuje Berai,Basu Bhattacharya,"Uttam Kumar, Madhabi Mukherjee, Ajoy Banerjee, Jyotsna Biswas",1971,Drama,NA,https://m.media-amazon.com/images/S/sash/NapCxx-VwSOJtCZ.png
tt0156290,Anubhav,Agradoot,"Sharmila Tagore, Barun Chanda, Paromita Chowdhury, Ajoy Banerjee",1971,Drama," Meeta Sen (Tanuja) and Amar Sen (Sanjeev Kumar) have been married for several years. Due to Amar's hectic work schedule, the couple have not had children, as there was no time for intimacy....                See full summary » ","https://m.media-amazon.com/images/M/MV5BZjljOGYzMzMtMjBiYy00NDgyLTg4ODUtMGYxZWE0ZDNiMmVlXkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_UY98_CR1,0,67,98_AL_.jpg"
tt0150101,Chhadmabeshi,Satyajit Ray,"Karuna Bannerjee, Shekhar Chatterjee, Ranjit Mallick",1971,Comedy, A professor plays a practical joke upon his brother-in-law by posing as his family driver.,"https://m.media-amazon.com/images/M/MV5BNTViODgzOTMtYThlNi00ZmE3LTlhZmYtMWQ5YjhkYzdkMTQwXkEyXkFqcGdeQXVyNjA3OTI5MjA@._V1_UY98_CR6,0,67,98_AL_.jpg"
tt0067729,Seemabaddha,Mrinal Sen,"Madhabi Mukherjee, Gita Sen, Binota Roy, Ranjit Mallick",1971,Drama, Chatterji is an ambitious and self-made young man who becomes the director of the company he works for.,"https://m.media-amazon.com/images/M/MV5BMzU4ZWQ5MjMtZDNkNi00MWE1LWIyOWItM2U4ODg2MjkyNDljXkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_UX67_CR0,0,67,98_AL_.jpg"
